            7.70010e+00;            9.23950e-01;            9.23950e-01;            7.81342e-12
            7.80010e+00;            9.98521e-01;            9.98521e-01;            8.26328e-12
            7.90010e+00;            1.07808e+00;            1.07808e+00;            8.67484e-12
            8.00010e+00;            1.16214e+00;            1.16214e+00;            9.01967e-12
            8.10010e+00;            1.24995e+00;            1.24995e+00;            9.26348e-12
            8.20010e+00;            1.34046e+00;            1.34046e+00;            9.37894e-12
            8.30010e+00;            1.43230e+00;            1.43230e+00;            9.33387e-12
            8.40010e+00;            1.52375e+00;            1.52375e+00;            9.09539e-12
            8.50010e+00;            1.61272e+00;            1.61272e+00;            8.62532e-12
            8.60010e+00;            1.69682e+00;            1.69682e+00;            7.90545e-12
            8.70010e+00;            1.77346e+00;            1.77346e+00;            6.91047e-12
            8.80010e+00;            1.83996e+00;            1.83996e+00;            5.65725e-12
            8.90010e+00;            1.89373e+00;            1.89373e+00;            4.15867e-12
            9.00010e+00;            1.93253e+00;            1.93253e+00;            2.48002e-12
            9.10010e+00;            1.95462e+00;            1.95462e+00;            6.79679e-13
            9.20010e+00;            1.95900e+00;            1.95900e+00;            1.15108e-12
            9.30010e+00;            1.94544e+00;            1.94544e+00;            2.93254e-12
            9.40010e+00;            1.91459e+00;            1.91459e+00;            4.56279e-12
            9.50010e+00;            1.86785e+00;            1.86785e+00;            5.98965e-12
            9.60010e+00;            1.80723e+00;            1.80723e+00;            7.15317e-12
            9.70010e+00;            1.73519e+00;            1.73519e+00;            8.03091e-12
            9.80010e+00;            1.65439e+00;            1.65439e+00;            8.62732e-12
            9.90010e+00;            1.56747e+00;            1.56747e+00;            8.94618e-12
